year,continent,population
2015,Asia,4433475358
2016,Asia,4476607853
2017,Asia,4519040027
2018,Asia,4560667108
2019,Asia,4601371198
2020,Asia,4641054775
2015,Europe,743059035
2016,Europe,744268827
2017,Europe,745414735
2018,Europe,746419440
2019,Europe,747182751
2020,Europe,747636026
2015,Africa,1182438784
2016,Africa,1213040521
2017,Africa,1244222267
2018,Africa,1275920972
2019,Africa,1308064195
2020,Africa,1340598147
2015,North America,357031048
2016,North America,359524647
2017,North America,361942268
2018,North America,364295996
2019,North America,366600964
2020,North America,368869647
2015,Latin America and the Caribbean,623934168
2016,Latin America and the Caribbean,630144555
2017,Latin America and the Caribbean,636233123
2018,Latin America and the Caribbean,642216682
2019,Latin America and the Caribbean,648120957
2020,Latin America and the Caribbean,653962331
